id,code,name,parent_id/id,user_type/id,type,reconcile
"marcos_l10n_do.default_chart_a_account_83","332000","Ajustes años anteriores","marcos_l10n_do.default_chart_a_account_81","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_84","333000","Ganancia del periodo","marcos_l10n_do.default_chart_a_account_81","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_85","4","Ingresos","marcos_l10n_do.default_chart_a_account_1","account.account_type_income_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_86","41","Ventas","marcos_l10n_do.default_chart_a_account_85","account.account_type_income_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_87","411000","Ventas","marcos_l10n_do.default_chart_a_account_86","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_88","42","Otros Ingresos","marcos_l10n_do.default_chart_a_account_85","account.account_type_income_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_89","421000","Ingresos por Servicios","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_90","422000","Intereses Cobrados","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_91","423000","Donaciones","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_92","424000","Ingresos en Ventas de Activos Fijos","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_93","430000","Devoluciones en Ventas","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_94","440000","Descuentos en Ventas","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_148","450000","Ingresos por diferencia de cambio","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_724","460000","Otros Ingresos","marcos_l10n_do.default_chart_a_account_88","account.data_account_type_income","Regular","False"
"marcos_l10n_do.default_chart_a_account_95","5","Costos","marcos_l10n_do.default_chart_a_account_1","marcos_l10n_do.default_chart_a_type_11","Vista","False"
"marcos_l10n_do.default_chart_a_account_96","51","Costos de Produccion","marcos_l10n_do.default_chart_a_account_95","marcos_l10n_do.default_chart_a_type_11","Vista","False"
"marcos_l10n_do.default_chart_a_account_97","511000","Materiales Directos","marcos_l10n_do.default_chart_a_account_96","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_98","512000","Mano de Obra Directa","marcos_l10n_do.default_chart_a_account_96","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_99","513000","Costos Indirectos de Fabricacion","marcos_l10n_do.default_chart_a_account_96","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_100","52","Costos de Ventas","marcos_l10n_do.default_chart_a_account_95","marcos_l10n_do.default_chart_a_type_11","Vista","False"
"marcos_l10n_do.default_chart_a_account_101","521000","Compras de mercancias","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_162","522000","Compras de mercancías en US","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_102","523000","Devoluciones en compras","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_103","524000","Descuentos en Compras","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_104","525000","Transporte en Compras","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_150","526000","Costo en ventas","marcos_l10n_do.default_chart_a_account_100","marcos_l10n_do.default_chart_a_type_9","Regular","False"
"marcos_l10n_do.default_chart_a_account_105","6","Gastos","marcos_l10n_do.default_chart_a_account_1","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_106","61","Gastos Operacionales","marcos_l10n_do.default_chart_a_account_105","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_706","611","Gastos Generales y Administrativos","marcos_l10n_do.default_chart_a_account_106","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_506","6111","Gastos Funcionarios y Empleados","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_507","611110","Salarios","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_516","611111","Infotep","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_517","611112","Aporte Plan Básico de Salud (SFS)","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_518","611113","Aporte Plan de Pensiones (AFP)","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_519","611114","Aporte Riesgos Laborales (ARL) ","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_520","611115","Seguro Medico y de Vida Privado","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_521","611116","Uniforme","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_522","611117","Dietas y Viáticos a Empleados","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_523","611118","Actividades Sociales Empleados","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_525","611120","Impuesto de Retribuciones Complementarias","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_508","611121","Comisiones Funcionarios y Empleados","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_526","611122","Otros Beneficios Empleados","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_509","611123","Incentivos y Horas Extras","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_510","611124","Bonificación","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_511","611125","Salario de Navidad","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_512","611126","Vacaciones","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_513","611127","Preaviso y Cesantía","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_514","611128","Compensación uso de vehículos","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_515","611129","Entrenamiento y Capacitación","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_524","611130","Gasto de Retribuciones Complementarias","marcos_l10n_do.default_chart_a_account_506","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_527","6112","Otros Gastos de Administración","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_528","61121","Agua, Luz y Basura","marcos_l10n_do.default_chart_a_account_527","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_529","61122","Telecomunicaciones","marcos_l10n_do.default_chart_a_account_527","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_721","61123","Otros Gastos Administrativos","marcos_l10n_do.default_chart_a_account_527","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_530","6113","Depreciación y Amortizaciones","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_531","61131","Depreciación Edificio","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_532","61132","Depreciación Mobiliario y Equipos de Oficina","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_533","61133","Depreciación Equipos de Cómputos y Telecomunicaciones","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_534","61134","Depreciación Equipos de Transporte","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
